sender,recipient,timestamp,department
user_fired@enron.com,peer4@enron.com,2001-02-14T02:00:00Z,DSE
user_fired@enron.com,peer7@enron.com,2001-04-15T05:00:00Z,DSE
user_resigned@enron.com,peer6@enron.com,2001-02-14T16:30:00Z,DMI
user_resigned@enron.com,peer5@enron.com,2001-02-14T18:45:00Z,DMI
user_stable@enron.com,peer7@enron.com,2001-02-14T07:00:00Z,DCAR
user_resigned@enron.com,peer8@enron.com,2001-04-15T19:30:00Z,DMI
user_stable@enron.com,peer3@enron.com,2001-06-14T03:00:00Z,DCAR
user_promoted@enron.com,peer2@enron.com,2001-06-14T01:00:00Z,DMCT
user_fired@enron.com,peer6@enron.com,2001-04-16T00:00:00Z,DSE
peer3@enron.com,user_bottleneck@enron.com,2001-03-16T00:34:00Z,DCAR
user_promoted@enron.com,peer8@enron.com,2001-04-15T07:00:00Z,DMCT
peer7@enron.com,user_bottleneck@enron.com,2001-02-14T00:35:00Z,DCAR
user_resigned@enron.com,peer6@enron.com,2001-01-15T09:00:00Z,DMI
user_stable@enron.com,peer3@enron.com,2001-02-14T13:00:00Z,DCAR
user_fired@enron.com,peer0@enron.com,2001-04-16T04:00:00Z,DSE
user_fired@enron.com,peer5@enron.com,2001-03-17T09:00:00Z,DSE
user_resigned@enron.com,peer4@enron.com,2001-05-15T01:00:00Z,DMI
user_resigned@enron.com,peer4@enron.com,2001-03-16T18:30:00Z,DMI
user_resigned@enron.com,peer7@enron.com,2001-03-16T11:45:00Z,DMI
peer4@enron.com,user_bottleneck@enron.com,2001-03-16T00:06:00Z,DCAR
user_fired@enron.com,peer5@enron.com,2001-02-14T23:00:00Z,DSE
user_resigned@enron.com,peer4@enron.com,2001-02-14T03:30:00Z,DMI
user_fired@enron.com,peer8@enron.com,2001-04-16T12:00:00Z,DSE
user_resigned@enron.com,peer8@enron.com,2001-01-15T09:30:00Z,DMI
user_resigned@enron.com,peer6@enron.com,2001-05-15T14:00:00Z,DMI
user_resigned@enron.com,peer2@enron.com,2001-03-16T23:00:00Z,DMI
user_stable@enron.com,peer5@enron.com,2001-04-15T15:00:00Z,DCAR
user_resigned@enron.com,peer1@enron.com,2001-05-15T02:45:00Z,DMI
peer5@enron.com,user_bottleneck@enron.com,2001-02-14T00:55:00Z,DCAR
peer8@enron.com,user_bottleneck@enron.com,2001-02-14T00:53:00Z,DCAR
user_resigned@enron.com,peer7@enron.com,2001-05-15T09:15:00Z,DMI
peer8@enron.com,user_bottleneck@enron.com,2001-04-15T00:08:00Z,DCAR
user_promoted@enron.com,peer1@enron.com,2001-03-16T10:00:00Z,DISQ
user_fired@enron.com,peer4@enron.com,2001-05-16T08:00:00Z,DSE
user_fired@enron.com,peer2@enron.com,2001-04-16T16:00:00Z,DSE
user_fired@enron.com,peer8@enron.com,2001-03-16T16:00:00Z,DSE
user_resigned@enron.com,peer0@enron.com,2001-03-16T17:30:00Z,DMI
peer5@enron.com,user_bottleneck@enron.com,2001-03-16T00:54:00Z,DCAR
peer1@enron.com,user_bottleneck@enron.com,2001-04-15T00:04:00Z,DCAR
user_resigned@enron.com,peer9@enron.com,2001-01-15T02:15:00Z,DMI
user_promoted@enron.com,peer3@enron.com,2001-01-15T12:00:00Z,DISQ
user_fired@enron.com,peer6@enron.com,2001-05-16T00:00:00Z,DSE
user_resigned@enron.com,peer6@enron.com,2001-04-15T14:00:00Z,DMI
user_fired@enron.com,peer8@enron.com,2001-03-17T02:00:00Z,DSE
user_fired@enron.com,peer6@enron.com,2001-05-16T20:00:00Z,DSE
peer8@enron.com,user_bottleneck@enron.com,2001-01-15T00:22:00Z,DCAR
user_resigned@enron.com,peer1@enron.com,2001-01-15T02:45:00Z,DMI
user_resigned@enron.com,peer9@enron.com,2001-03-16T09:45:00Z,DMI
user_promoted@enron.com,peer6@enron.com,2001-05-15T15:00:00Z,DMCT
peer9@enron.com,user_bottleneck@enron.com,2001-01-15T00:42:00Z,DCAR
user_resigned@enron.com,peer8@enron.com,2001-03-16T02:00:00Z,DMI
peer9@enron.com,user_bottleneck@enron.com,2001-06-14T00:33:00Z,DCAR
user_resigned@enron.com,peer9@enron.com,2001-03-17T00:45:00Z,DMI
peer2@enron.com,user_bottleneck@enron.com,2001-06-14T00:22:00Z,DCAR
user_resigned@enron.com,peer2@enron.com,2001-03-16T13:00:00Z,DMI
user_resigned@enron.com,peer1@enron.com,2001-02-14T17:45:00Z,DMI
user_resigned@enron.com,peer1@enron.com,2001-01-15T15:15:00Z,DMI
user_fired@enron.com,peer4@enron.com,2001-04-15T12:00:00Z,DSE
